mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2108325004577636,0.07730643018295576,0.11250834465026856,0.015357197104616102,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-178.603647262436,-211.68075714448716,-315.24615549935896,-278.1013697770131,-353.92774813831176,-267.5119355643214,64.62226976065298,26
2.3187418460845945,0.2590141054357737,0.22747697830200195,0.08314385391147935,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-181.2725965725,-214.40316158785254,-315.42049906458345,-278.1142367208767,-356.76942188386363,-269.1959831659353,64.21545529226378,88
3.2109570503234863,0.24006446760007086,0.22870635986328125,0.04078431900060945,,1,2,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-182.12687056195156,-211.61726551200854,-313.57066665200847,-277.11974751884566,-353.76640217106797,-267.6401904831764,63.353438720673275,33
0.9706401824951172,0.2245556968114449,0.2610651969909668,0.10583801856900626,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-180.07133883875343,-212.39146546195587,-312.1839414251841,-275.35472318926105,-357.0885426267732,-267.41800230838555,64.44400052903306,19
2.3552879810333254,0.09254626288816122,0.1581420421600342,0.027405801332468657,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-181.8186743852278,-214.3479937796985,-312.2423303487871,-277.0651740076969,-356.41040540529093,-268.37691558534027,63.499620924536586,61
3.229026508331299,0.11744215339932887,0.22689075469970704,0.08073293032073807,,1,5,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-181.44624603743148,-212.59861692974883,-308.579433046254,-276.04849615344017,-353.84350722826815,-266.5032598790285,62.658185141445024,5
1.1476843357086182,0.14950973728297282,0.13241500854492189,0.029122915127441158,,1,10,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-185.50659355244812,-213.89710509474912,-314.39799325399207,-269.9491329840857,-359.8130661441045,-268.7127782058759,63.743167622521874,71
2.080327844619751,0.0891180589628114,0.1660594940185547,0.03738122331602043,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-183.21304629282864,-214.35020981687614,-315.48730402720406,-272.7730409563241,-358.17172100809887,-268.7990644202664,63.98859307595664,77
2.902333068847656,0.15739421201982273,0.19473600387573242,0.06757695051285816,,1,10,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-182.15225595412477,-211.1224902617561,-312.1711375512363,-270.5441642107672,-354.6688837279229,-266.1317863411615,63.33481306700224,3
1.0743464469909667,0.05486392806399342,0.11377372741699218,0.019402523641700548,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-176.0883396131373,-212.56329038005651,-310.38619391141657,-279.3916684355753,-363.5616206261951,-268.39822259327616,67.19906556364319,64
2.0097211837768554,0.19794493592623832,0.15931496620178223,0.03834940846735525,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-179.37329360685428,-213.71677451562917,-312.69462703512147,-279.9117982052088,-366.69267692649964,-270.47783405786265,67.30588153824455,103
2.9862895965576173,0.12121858824836465,0.27286734580993655,0.06954395689959054,,2,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-180.24124942107932,-211.37263746028313,-306.7906702036633,-278.28960257348405,-362.2956199126024,-267.7979559142224,65.43746378487837,41
1.215318250656128,0.041663161751212846,0.1541665554046631,0.04279041954692483,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-176.8238727708621,-210.5768270572035,-311.48435459819945,-280.57697573922087,-362.3075274198664,-268.35391151707046,67.1607918984409,58
2.0357293128967284,0.13650854125088424,0.23342056274414064,0.06776229893223816,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-179.6537863005431,-213.33102578499413,-311.4180858829423,-281.4840326010139,-365.9094284370758,-270.35927180131387,66.96136930109381,99
2.9536529064178465,0.14786784965413,0.1660618305206299,0.045185214922342544,,2,5,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-179.41142401664533,-211.5571410954812,-307.22370509362304,-277.76043891609163,-361.9674697914725,-267.58403578266274,65.56907437663135,32
1.0730696678161622,0.05038603048359898,0.14157257080078126,0.03495851047855267,,2,10,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-183.16157073648446,-213.33094243839543,-310.2502849420194,-276.0131255297363,-360.43528312153643,-268.63824135363444,64.15264062942828,68
2.0365366458892824,0.06909897226211925,0.1908700942993164,0.06743570612266016,,2,10,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-181.83832162081012,-216.24836284532648,-312.70874256693753,-276.8139696021374,-365.8517321669889,-270.69222576044007,65.90500069300701,107
2.8532569885253904,0.13102683232995313,0.20262670516967773,0.05014848787318094,,2,10,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-181.57300967088594,-213.0856203290003,-307.9914417067104,-274.7506548960984,-359.8825512935592,-267.4566555792509,64.14207296263919,24
1.0198102474212647,0.03412130165382259,0.12169618606567383,0.016024084532028613,,4,2,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-167.65653074455275,-209.49533082347656,-312.31271405028747,-282.59896219700386,-363.0392913101086,-267.02056582508584,70.27947765545524,13
1.8121047973632813,0.09235509889224268,0.15843615531921387,0.03504362405764959,,4,2,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-172.37663254125536,-212.9093854078788,-311.2623867527978,-283.760565034386,-365.4430655845535,-269.1504070641743,68.9744410437498,81
2.8572996139526365,0.10040931410152934,0.19283251762390136,0.05346342941322351,,4,2,300,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-171.47505963282134,-212.75160427101838,-310.3222662148054,-283.220496004677,-362.1239756997638,-267.97868036461716,68.19326592647437,46
0.9708288669586181,0.09348362976442091,0.13111982345581055,0.04116756289374948,,4,5,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-167.65653074455273,-209.49533082347662,-312.31271405028747,-282.59896219700386,-363.03929131010847,-267.0205658250858,70.27947765545521,10
1.884480857849121,0.09660836780076741,0.1431647300720215,0.03656148178820666,,4,5,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-172.37663254125536,-212.9093854078788,-311.2623867527978,-283.760565034386,-365.4430655845535,-269.1504070641743,68.9744410437498,81
2.946094036102295,0.1562413292485481,0.26967554092407225,0.04955352101475114,,4,5,300,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-171.47505963282134,-212.75160427101838,-310.3222662148054,-283.22049600467693,-362.12397569976383,-267.97868036461716,68.19326592647438,46
1.0177259922027588,0.15541749551548756,0.18450064659118653,0.02761914071366657,,4,10,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-169.52440900039713,-210.06532878060287,-312.0061428789027,-283.2726629991114,-364.03457786015855,-267.78062430383454,69.92290399358718,37
2.065957450866699,0.16032948912462988,0.18379387855529786,0.0239513969990101,,4,10,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-173.52307298707302,-212.79506870280713,-312.27511041910526,-283.6939206596423,-366.35539989348223,-269.72851453242197,69.04911961986433,93
2.7998326778411866,0.22934122608555713,0.22699108123779296,0.06791682828789772,,4,10,300,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-172.37813548324746,-212.83409570015328,-310.84141220537595,-282.6603298668143,-361.9156478649425,-268.1259242241067,67.90758348192868,52
1.1473012447357178,0.09286068734425608,0.1509309768676758,0.09242776833046706,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-180.09491428238425,-212.1504724406133,-310.2313669812307,-275.9579952748146,-365.41822530211846,-268.77059485623226,66.60425423105866,75
2.2324734210968016,0.25288187513316124,0.228981876373291,0.05016681013522362,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-183.32137655765544,-213.3387392072379,-313.4455448947547,-275.81413159590636,-363.05267385305757,-269.7944932217224,65.27417663965703,96
3.1267011642456053,0.1544723187869236,0.23819169998168946,0.1113379178489965,10,1,2,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-183.98479656772477,-211.19267140128306,-311.35938049520115,-277.004364005958,-360.2560249782403,-268.75944748968146,64.42830399864084,74
1.145397996902466,0.13389280092090033,0.1340893268585205,0.04752617407459544,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-180.19233406138912,-215.15371143134007,-313.21805775440646,-272.7488954640177,-356.5280059940486,-267.5682009410404,63.88492273052145,30
2.0220587730407713,0.13912249725845627,0.17059130668640138,0.06475282168626512,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-183.54300706561176,-215.6491782763631,-311.37097783764784,-273.2363893409704,-357.1778748490245,-268.1954854739235,62.8244474266491,55
3.1709358215332033,0.23453142004481567,0.14041008949279785,0.03913316522663275,10,1,5,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-183.32006156628756,-212.6532381084859,-309.8400809774738,-272.9609350765666,-353.9852259364211,-266.551908333047,62.27701584052763,7
0.9780419349670411,0.042915821778077685,0.13962264060974122,0.03922922415422848,10,1,10,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-187.94677182669457,-212.319702356861,-315.9131904821693,-271.9750411015057,-358.6369135654171,-269.35832386652953,63.28683045084202,91
2.200673770904541,0.10238897038403844,0.15095763206481932,0.051445037157559076,10,1,10,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-186.02954971077043,-214.06715979813654,-315.520583525224,-274.67705867443607,-356.21567546874473,-269.3020054354623,62.77614873758261,90
2.810840892791748,0.12254672141523532,0.13415398597717285,0.031322879021492056,10,1,10,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-185.04225783833445,-210.45723606361875,-312.6557453304855,-271.7944412603016,-353.64028234646145,-266.7179925678403,62.49436820482244,8
1.1968110084533692,0.12062052565967708,0.1916354179382324,0.0846167002348689,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-177.5640836528963,-211.17301534761313,-309.22651629433375,-277.818953041669,-367.51200739333854,-268.6589151459701,67.97715410993364,70
2.0446203708648683,0.09736361981424187,0.17026281356811523,0.06496240070500323,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-181.71139864352773,-213.2360186650836,-310.7701718517607,-279.01135780236325,-367.59210367851296,-270.46421012824965,66.75863904232756,102
3.0776271343231203,0.12994615535567047,0.18928799629211426,0.03404679877697342,10,2,2,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-181.89009548097076,-210.76304499957334,-304.748890175934,-277.9126422267614,-363.3532755544493,-267.73358968753774,65.16382181205402,36
1.099182415008545,0.12216057625492675,0.10953154563903808,0.032632621364067894,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-178.74044371383314,-209.8540709206822,-310.41114759864865,-275.99662320531894,-362.5449073347952,-267.5094385546556,66.55584892480806,25
1.8656013011932373,0.13758452142154584,0.1652815818786621,0.026597667170061054,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-181.13714576040866,-212.4957725921607,-311.2782368769893,-277.2252893756431,-365.13638350716553,-269.45456562247347,66.3458885736494,92
2.94096360206604,0.27102246901437355,0.17770795822143554,0.03530317660457164,10,2,5,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-180.215179116473,-211.4870047576588,-307.3948799455122,-276.1735396886559,-360.19446017509836,-267.09301273667967,64.82956437193731,18
1.1273802280426026,0.061579964246549865,0.12110376358032227,0.03383231502768378,10,2,10,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-183.7338889215317,-212.24460357327885,-308.1034637397993,-275.1608469453658,-360.1464649970011,-267.87785363539535,63.812073548295785,43
1.94432373046875,0.1056972610832752,0.15616860389709472,0.04204504773415821,10,2,10,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-182.99995405669478,-214.76272634396128,-311.18270162155926,-276.26122051689055,-365.35838234444617,-270.1129969767104,65.49586159761041,98
2.9988941192626952,0.21587854337123816,0.1955939292907715,0.03624063083561417,10,2,10,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-182.3319143038473,-211.49600145806804,-307.0563305022961,-274.37271265946583,-359.3086541382302,-266.91312261238147,63.920411427447924,9
1.09938325881958,0.11121595667138906,0.13398165702819825,0.0567005333665225,10,4,2,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-167.50785945692306,-209.08552155914217,-312.21771938155655,-282.4055665656252,-363.94023884034385,-267.0313811607182,70.6146605921656,17
1.9256513595581055,0.17839645768255627,0.14580512046813965,0.032000644958930846,10,4,2,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-172.65558693321557,-212.51881895934915,-310.9308485611743,-284.27617115058763,-365.16907276420966,-269.1100996737073,68.86560411939945,80
2.8660337924957275,0.20939962896419972,0.175538969039917,0.04160882046330217,10,4,2,300,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-171.8656289993884,-212.31187890433162,-310.1610228704281,-283.0464100735139,-362.08466913605287,-267.89392199674296,68.1157825003234,44
0.9799273014068604,0.08000116455349518,0.11992063522338867,0.03103157414444072,10,4,5,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-167.50785945692303,-209.08552155914214,-312.2177193815566,-282.4055665656252,-363.9402388403438,-267.0313811607181,70.61466059216562,16
1.8594679832458496,0.11806366289546014,0.20145049095153808,0.08432540393256817,10,4,5,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-172.65558693321555,-212.51881895934918,-310.93084856117434,-284.27617115058763,-365.16907276420955,-269.1100996737072,68.86560411939944,79
2.8925469398498533,0.10706630257575087,0.18668079376220703,0.04177086007397815,10,4,5,300,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-171.8656289993884,-212.31187890433162,-310.16102287042816,-283.0464100735139,-362.08466913605287,-267.893921996743,68.1157825003234,45
0.9479083061218262,0.0718305304037924,0.14193124771118165,0.024662963521206838,10,4,10,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-169.87890867962565,-210.04905165479624,-312.6662187858262,-284.2936490122785,-364.17620805264704,-268.2128072370347,69.99464498881855,56
1.9348674774169923,0.08324068320972425,0.17771778106689454,0.09733944317388657,10,4,10,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-173.81765468698893,-212.83449749316273,-312.5654051058602,-284.28067585964715,-365.66727155162164,-269.83310093945613,68.82844936689258,97
